Transaction ID,Date,Customer ID,Customer Name,Product ID,Product Name,Category,Quantity,Price,Total Amount,Discount,Final Amount,Payment Method,EMI Option,EMI Duration,EMI Monthly Payment,Branch Name
TID00027,18/09/2024,CUST3797,Devi,PROD831,LG T70SJSF1Z,washing machine,4,22981,91924,0.04,88247.04,Credit Card,No,0,0,Kodungalloor
TID00028,19/09/2024,CUST3776,Suraj,PROD376,Sony Bravia,tv,4,26236,104944,0.02,102845.12,Credit Card,No,0,0,Kodungalloor
TID00029,29/09/2024,CUST8222,Sreeja,PROD839,Samsung QLED,tv,1,27615,27615,0.17,22920.45,EMI,Yes,24,955.02,Kodungalloor
TID00030,07/08/2024,CUST3347,Arjun,PROD200,iPhone 14,phone,3,24952,74856,0.15,63627.6,Debit Card,No,0,0,Kodungalloor
TID00031,27/09/2024,CUST3298,Sreeja,PROD201,IFB 30FRC2,oven,1,20690,20690,0.13,18000.3,Credit Card,No,0,0,Kodungalloor
TID00032,04/08/2024,CUST5961,Rajesh,PROD298,OnePlus 10,phone,2,14906,29812,0.15,25340.2,EMI,Yes,18,1407.79,Kodungalloor
TID00033,25/09/2024,CUST9318,Rajesh,PROD192,IFB 30FRC2,oven,5,22628,113140,0.04,108614.4,Debit Card,No,0,0,Kodungalloor
TID00034,31/08/2024,CUST3076,Lekshmi,PROD104,Samsung Galaxy S22,phone,2,17261,34522,0.13,30034.14,Cash,No,0,0,Kodungalloor
TID00035,04/08/2024,CUST4869,Sreeja,PROD230,LG T70SJSF1Z,washing machine,4,49694,198776,0.13,172935.12,Debit Card,No,0,0,Kodungalloor
TID00036,09/08/2024,CUST1922,Sreeja,PROD608,Whirlpool Neo Fresh,fridge,2,41756,83512,0.19,67644.72,EMI,Yes,6,11274.12,Kodungalloor
TID00037,07/09/2024,CUST8336,Krishna,PROD949,HP Pavilion,laptop,3,45081,135243,0.19,109546.83,Credit Card,No,0,0,Kodungalloor
TID00038,28/09/2024,CUST7711,Akhil,PROD975,Orient Electric,fan,3,12522,37566,0.02,36814.68,Credit Card,No,0,0,Kodungalloor
TID00039,11/09/2024,CUST3151,Anjali,PROD223,Whirlpool Neo Fresh,fridge,1,11049,11049,0.1,9944.1,EMI,Yes,24,414.34,Kodungalloor
TID00040,17/08/2024,CUST3100,Sreeja,PROD441,iPhone 14,phone,1,36826,36826,0.11,32775.14,EMI,Yes,12,2731.26,Kodungalloor
TID00041,07/08/2024,CUST1305,Rajesh,PROD366,IFB 30FRC2,oven,3,36448,109344,0.01,108250.56,EMI,Yes,6,18041.76,Kodungalloor
TID00042,03/08/2024,CUST5510,Anand,PROD615,LG InstaView,fridge,3,39751,119253,0.12,104942.64,Cash,No,0,0,Kodungalloor
TID00043,23/09/2024,CUST5586,Rajesh,PROD727,MacBook Air,laptop,4,31198,124792,0.01,123544.08,EMI,Yes,6,20590.68,Kodungalloor
TID00044,12/09/2024,CUST9567,Akhil,PROD689,iPhone 14,phone,2,33380,66760,0.04,64089.6,Debit Card,No,0,0,Kodungalloor
TID00045,18/09/2024,CUST3271,Krishna,PROD388,Orient Electric,fan,3,41201,123603,0.04,118658.88,Cash,No,0,0,Kodungalloor
TID00046,22/09/2024,CUST8280,Anand,PROD516,Samsung Galaxy S22,phone,1,29582,29582,0.15,25144.7,Debit Card,No,0,0,Kodungalloor
TID00047,12/08/2024,CUST4245,Anjali,PROD510,Samsung Twin Cooling,fridge,2,29611,59222,0.18,48562.04,Debit Card,No,0,0,Kodungalloor
TID00048,11/09/2024,CUST1586,Sreeja,PROD688,iPhone 14,phone,1,44135,44135,0,44135,EMI,Yes,18,2451.94,Kodungalloor
TID00049,23/09/2024,CUST1458,Anjali,PROD128,LG MJ3286BFUM,oven,1,30676,30676,0.01,30369.24,Debit Card,No,0,0,Kodungalloor
TID00050,14/08/2024,CUST3368,Arjun,PROD246,Sony Bravia,tv,1,42488,42488,0.19,34415.28,Credit Card,No,0,0,Kodungalloor
TID00051,27/08/2024,CUST1076,Krishna,PROD571,LG T70SJSF1Z,washing machine,3,4032,12096,0.12,10644.48,Credit Card,No,0,0,Kodungalloor
TID00052,07/09/2024,CUST1256,Arjun,PROD581,Sony Bravia,tv,5,1321,6605,0.05,6274.75,EMI,Yes,18,348.6,Kodungalloor
TID00053,17/08/2024,CUST4010,Lekshmi,PROD482,LG InstaView,fridge,1,25168,25168,0.13,21896.16,Cash,No,0,0,Kodungalloor
TID00054,29/08/2024,CUST6528,Suraj,PROD558,Samsung QLED,tv,1,5556,5556,0.04,5333.76,Credit Card,No,0,0,Kodungalloor
TID00055,15/09/2024,CUST2472,Akhil,PROD317,Samsung CE117,oven,5,40689,203445,0.14,174962.7,Debit Card,No,0,0,Kodungalloor
TID00056,11/08/2024,CUST9627,Suraj,PROD115,MacBook Air,laptop,1,21973,21973,0.05,20874.35,EMI,Yes,18,1159.69,Kodungalloor
TID00057,29/09/2024,CUST4055,Devi,PROD579,Samsung CE117,oven,1,48787,48787,0.03,47323.39,Cash,No,0,0,Kodungalloor
TID00058,08/08/2024,CUST1732,Suraj,PROD168,HP Pavilion,laptop,3,41652,124956,0.18,102463.92,Cash,No,0,0,Kodungalloor
TID00059,15/08/2024,CUST8950,Sreeja,PROD405,Dell Inspiron,laptop,3,16164,48492,0.06,45582.48,Credit Card,No,0,0,Kodungalloor
TID00060,11/09/2024,CUST9686,Devi,PROD906,Dell Inspiron,laptop,4,26076,104304,0.07,97002.72,Debit Card,No,0,0,Kodungalloor
TID00061,04/09/2024,CUST3816,Akhil,PROD718,IFB 30FRC2,oven,1,17105,17105,0.1,15394.5,EMI,Yes,6,2565.75,Kodungalloor
TID00062,20/08/2024,CUST1564,Devi,PROD615,HP Pavilion,laptop,3,37364,112092,0.06,105366.48,Debit Card,No,0,0,Kodungalloor
TID00063,25/08/2024,CUST7683,Suraj,PROD926,iPhone 14,phone,4,33624,134496,0.06,126426.24,Debit Card,No,0,0,Kodungalloor
TID00064,13/09/2024,CUST5659,Anand,PROD542,Havells Turbo,fan,2,1387,2774,0.01,2746.26,Credit Card,No,0,0,Kodungalloor
TID00065,04/09/2024,CUST7139,Sreeja,PROD991,Orient Electric,fan,4,19114,76456,0.11,68045.84,Debit Card,No,0,0,Kodungalloor
TID00066,15/09/2024,CUST6496,Devi,PROD206,LG MJ3286BFUM,oven,2,34115,68230,0.03,66183.1,EMI,Yes,12,5515.26,Kodungalloor
TID00067,21/08/2024,CUST5398,Anjali,PROD737,LG InstaView,fridge,2,10384,20768,0.07,19314.24,EMI,Yes,24,804.76,Kodungalloor
TID00068,22/09/2024,CUST2706,Sreeja,PROD729,LG InstaView,fridge,4,11297,45188,0.12,39765.44,Debit Card,No,0,0,Kodungalloor
TID00069,11/08/2024,CUST2460,Anjali,PROD805,Orient Electric,fan,5,12375,61875,0.12,54450,Debit Card,No,0,0,Kodungalloor
TID00070,20/09/2024,CUST1222,Sreeja,PROD333,Samsung QLED,tv,3,33386,100158,0.13,87137.46,EMI,Yes,24,3630.73,Kodungalloor
TID00071,23/09/2024,CUST4441,Lekshmi,PROD396,Samsung Twin Cooling,fridge,2,42093,84186,0.01,83344.14,Debit Card,No,0,0,Kodungalloor
TID00072,29/08/2024,CUST4542,Rajesh,PROD961,iPhone 14,phone,1,2449,2449,0.02,2400.02,EMI,Yes,18,133.33,Kodungalloor
TID00073,13/08/2024,CUST6652,Rajesh,PROD456,Whirlpool Neo Fresh,fridge,2,31320,62640,0.03,60760.8,Debit Card,No,0,0,Kodungalloor
TID00074,15/09/2024,CUST6562,Sreeja,PROD377,LG MJ3286BFUM,oven,2,24852,49704,0.06,46721.76,Credit Card,No,0,0,Kodungalloor
TID00075,18/08/2024,CUST4894,Devi,PROD277,iPhone 14,phone,4,13174,52696,0.08,48480.32,Credit Card,No,0,0,Kodungalloor
TID00076,03/09/2024,CUST5469,Sreeja,PROD661,Dell Inspiron,laptop,5,37670,188350,0.07,175165.5,EMI,Yes,18,9731.42,Kodungalloor
TID00077,15/09/2024,CUST6369,Anjali,PROD220,LG T70SJSF1Z,washing machine,5,13744,68720,0.17,57037.6,Credit Card,No,0,0,Kodungalloor
TID00078,01/08/2024,CUST3748,Anjali,PROD959,IFB 30FRC2,oven,1,17533,17533,0.17,14552.39,EMI,Yes,18,808.47,Kodungalloor
TID00079,21/08/2024,CUST4988,Anjali,PROD265,LG OLED,tv,1,38250,38250,0.15,32512.5,Debit Card,No,0,0,Kodungalloor
TID00080,13/09/2024,CUST4894,Krishna,PROD954,Samsung WT75,washing machine,3,27744,83232,0.14,71579.52,Debit Card,No,0,0,Kodungalloor
TID00081,30/08/2024,CUST2856,Sreeja,PROD429,LG InstaView,fridge,1,37362,37362,0.13,32504.94,Cash,No,0,0,Kodungalloor
TID00082,02/09/2024,CUST9033,Arjun,PROD512,Orient Electric,fan,2,14869,29738,0.03,28845.86,Cash,No,0,0,Kodungalloor
TID00083,15/08/2024,CUST2300,Krishna,PROD417,LG InstaView,fridge,5,2946,14730,0.14,12667.8,Debit Card,No,0,0,Kodungalloor
TID00084,06/09/2024,CUST5399,Devi,PROD867,Bajaj Esteem,fan,3,37144,111432,0.14,95831.52,Credit Card,No,0,0,Kodungalloor
TID00085,25/09/2024,CUST1402,Anjali,PROD927,Havells Turbo,fan,5,23849,119245,0.1,107320.5,EMI,Yes,24,4471.69,Kodungalloor
TID00086,17/08/2024,CUST4315,Arjun,PROD203,HP Pavilion,laptop,2,11493,22986,0.07,21376.98,Credit Card,No,0,0,Kodungalloor
TID00087,28/08/2024,CUST9477,Akhil,PROD955,Havells Turbo,fan,5,11674,58370,0.07,54284.1,Debit Card,No,0,0,Kodungalloor
TID00088,17/09/2024,CUST6834,Devi,PROD661,Havells Turbo,fan,3,42144,126432,0.15,107467.2,Cash,No,0,0,Kodungalloor
TID00089,01/08/2024,CUST1242,Suraj,PROD873,Samsung CE117,oven,4,44128,176512,0,176512,Credit Card,No,0,0,Kodungalloor
TID00090,19/09/2024,CUST7914,Lekshmi,PROD700,LG OLED,tv,4,39394,157576,0.04,151272.96,Debit Card,No,0,0,Kodungalloor
TID00091,24/08/2024,CUST9552,Suraj,PROD864,Samsung CE117,oven,2,31402,62804,0.13,54639.48,EMI,Yes,24,2276.64,Kodungalloor
TID00092,02/08/2024,CUST2499,Suraj,PROD665,MacBook Air,laptop,4,37872,151488,0.12,133309.44,Credit Card,No,0,0,Kodungalloor
TID00093,28/08/2024,CUST7310,Devi,PROD897,Samsung Twin Cooling,fridge,1,12099,12099,0,12099,Credit Card,No,0,0,Kodungalloor
TID00094,30/08/2024,CUST7840,Suraj,PROD750,Samsung Twin Cooling,fridge,5,44765,223825,0.14,192489.5,Credit Card,No,0,0,Kodungalloor
TID00095,02/09/2024,CUST7598,Rajesh,PROD733,Whirlpool Neo Fresh,fridge,5,26941,134705,0.14,115846.3,EMI,Yes,6,19307.72,Kodungalloor
TID00096,14/08/2024,CUST8446,Suraj,PROD531,Samsung WT75,washing machine,2,46308,92616,0.08,85206.72,Credit Card,No,0,0,Kodungalloor
TID00097,05/08/2024,CUST8080,Lekshmi,PROD796,OnePlus 10,phone,1,6487,6487,0.13,5643.69,EMI,Yes,24,235.15,Kodungalloor
TID00098,17/09/2024,CUST1982,Lekshmi,PROD161,LG InstaView,fridge,3,27686,83058,0.2,66446.4,Credit Card,No,0,0,Kodungalloor
TID00099,22/08/2024,CUST7036,Suraj,PROD652,LG OLED,tv,2,44642,89284,0.19,72320.04,Credit Card,No,0,0,Kodungalloor
TID00100,03/08/2024,CUST5955,Akhil,PROD773,Bosch WAB20267IN,washing machine,2,33053,66106,0.18,54206.92,Debit Card,No,0,0,Kodungalloor
TID00101,12/08/2024,CUST3240,Anjali,PROD963,Samsung Twin Cooling,fridge,2,34838,69676,0.02,68282.48,Credit Card,No,0,0,Kodungalloor
TID00102,07/08/2024,CUST7202,Devi,PROD400,LG InstaView,fridge,1,2530,2530,0.07,2352.9,Credit Card,No,0,0,Kodungalloor
TID00103,02/08/2024,CUST6845,Krishna,PROD899,LG MJ3286BFUM,oven,2,48559,97118,0.14,83521.48,Debit Card,No,0,0,Kodungalloor
TID00104,19/09/2024,CUST5507,Krishna,PROD795,LG T70SJSF1Z,washing machine,3,28124,84372,0.06,79309.68,Cash,No,0,0,Kodungalloor
TID00105,30/08/2024,CUST4231,Lekshmi,PROD368,Whirlpool Neo Fresh,fridge,2,31930,63860,0.15,54281,Cash,No,0,0,Kodungalloor
TID00106,01/09/2024,CUST3964,Sreeja,PROD758,LG OLED,tv,5,8080,40400,0.12,35552,EMI,Yes,12,2962.67,Kodungalloor
TID00107,12/08/2024,CUST6719,Devi,PROD360,HP Pavilion,laptop,2,49162,98324,0.11,87508.36,Cash,No,0,0,Kodungalloor
TID00108,12/08/2024,CUST9531,Rajesh,PROD637,Bosch WAB20267IN,washing machine,1,27280,27280,0.2,21824,Cash,No,0,0,Kodungalloor
TID00109,07/08/2024,CUST5288,Lekshmi,PROD617,LG T70SJSF1Z,washing machine,2,17112,34224,0.05,32512.8,Credit Card,No,0,0,Kodungalloor
TID00110,27/08/2024,CUST6482,Anand,PROD147,LG InstaView,fridge,2,13476,26952,0.02,26412.96,Debit Card,No,0,0,Kodungalloor
TID00111,03/08/2024,CUST7502,Lekshmi,PROD933,Sony Bravia,tv,5,35515,177575,0.15,150938.75,Credit Card,No,0,0,Kodungalloor
TID00112,01/08/2024,CUST4344,Arjun,PROD202,LG MJ3286BFUM,oven,5,43599,217995,0.02,213635.1,EMI,Yes,6,35605.85,Kodungalloor
TID00113,24/08/2024,CUST7520,Suraj,PROD316,LG InstaView,fridge,2,12429,24858,0.13,21626.46,Credit Card,No,0,0,Kodungalloor
TID00114,03/08/2024,CUST9008,Anjali,PROD925,LG MJ3286BFUM,oven,3,1687,5061,0.05,4807.95,EMI,Yes,24,200.33,Kodungalloor
TID00115,11/08/2024,CUST9666,Krishna,PROD516,Dell Inspiron,laptop,1,17009,17009,0.13,14797.83,Cash,No,0,0,Kodungalloor
TID00116,21/08/2024,CUST3764,Anjali,PROD373,LG T70SJSF1Z,washing machine,1,36350,36350,0.06,34169,EMI,Yes,18,1898.28,Kodungalloor
TID00117,22/09/2024,CUST5328,Devi,PROD195,MacBook Air,laptop,5,8441,42205,0.08,38828.6,Debit Card,No,0,0,Kodungalloor
TID00118,23/08/2024,CUST8665,Arjun,PROD350,Dell Inspiron,laptop,1,14133,14133,0.03,13709.01,Debit Card,No,0,0,Kodungalloor
TID00119,26/08/2024,CUST7756,Akhil,PROD764,Sony Bravia,tv,3,16881,50643,0.07,47097.99,Debit Card,No,0,0,Kodungalloor
TID00120,09/08/2024,CUST8545,Anjali,PROD920,Samsung CE117,oven,2,1275,2550,0.05,2422.5,Cash,No,0,0,Kodungalloor
TID00121,20/08/2024,CUST2611,Arjun,PROD724,Sony Bravia,tv,4,40884,163536,0.02,160265.28,EMI,Yes,18,8903.63,Kodungalloor
TID00122,23/08/2024,CUST2465,Arjun,PROD215,Samsung WT75,washing machine,4,10506,42024,0.06,39502.56,EMI,Yes,6,6583.76,Kodungalloor
TID00123,27/08/2024,CUST7915,Suraj,PROD680,IFB 30FRC2,oven,4,24462,97848,0.09,89041.68,Debit Card,No,0,0,Kodungalloor
TID00124,29/08/2024,CUST8685,Krishna,PROD515,LG T70SJSF1Z,washing machine,4,33684,134736,0.17,111830.88,Debit Card,No,0,0,Kodungalloor
TID00125,05/08/2024,CUST9982,Akhil,PROD983,Samsung WT75,washing machine,3,38635,115905,0.03,112427.85,Credit Card,No,0,0,Kodungalloor
TID00126,04/08/2024,CUST4740,Anjali,PROD941,Sony Bravia,tv,1,10951,10951,0.14,9417.86,EMI,Yes,6,1569.64,Kodungalloor
TID00127,22/08/2024,CUST8356,Rajesh,PROD281,Bajaj Esteem,fan,3,26146,78438,0.08,72162.96,EMI,Yes,18,4009.05,Kodungalloor
TID00128,18/09/2024,CUST4927,Lekshmi,PROD219,Samsung Twin Cooling,fridge,1,44669,44669,0.03,43328.93,EMI,Yes,6,7221.49,Kodungalloor
TID00129,08/08/2024,CUST6452,Anjali,PROD949,Dell Inspiron,laptop,4,2828,11312,0.01,11198.88,EMI,Yes,24,466.62,Kodungalloor
TID00130,19/08/2024,CUST1744,Sreeja,PROD170,HP Pavilion,laptop,2,3436,6872,0.18,5635.04,EMI,Yes,18,313.06,Kodungalloor
TID00131,31/08/2024,CUST9954,Suraj,PROD917,Bosch WAB20267IN,washing machine,2,28384,56768,0.09,51658.88,Credit Card,No,0,0,Kodungalloor
TID00132,12/08/2024,CUST4675,Rajesh,PROD713,LG MJ3286BFUM,oven,2,41308,82616,0.02,80963.68,Cash,No,0,0,Kodungalloor
TID00133,24/08/2024,CUST7177,Lekshmi,PROD289,iPhone 14,phone,1,27387,27387,0.03,26565.39,Credit Card,No,0,0,Kodungalloor
TID00134,12/09/2024,CUST3194,Lekshmi,PROD656,Samsung CE117,oven,5,36617,183085,0.16,153791.4,Credit Card,No,0,0,Kodungalloor
TID00135,21/09/2024,CUST8548,Suraj,PROD701,Havells Turbo,fan,2,25763,51526,0.17,42766.58,Credit Card,No,0,0,Kodungalloor
TID00136,22/09/2024,CUST6965,Anand,PROD560,LG MJ3286BFUM,oven,3,9988,29964,0.09,27267.24,Credit Card,No,0,0,Kodungalloor
TID00137,27/09/2024,CUST6697,Anjali,PROD491,Havells Turbo,fan,5,2330,11650,0.19,9436.5,Credit Card,No,0,0,Kodungalloor
TID00138,05/08/2024,CUST7035,Anjali,PROD937,Bosch WAB20267IN,washing machine,3,38179,114537,0.14,98501.82,Debit Card,No,0,0,Kodungalloor
TID00139,04/09/2024,CUST4937,Anand,PROD927,MacBook Air,laptop,1,32155,32155,0.01,31833.45,Credit Card,No,0,0,Kodungalloor
TID00140,28/08/2024,CUST9305,Sreeja,PROD448,Samsung Galaxy S22,phone,4,3267,13068,0.05,12414.6,Credit Card,No,0,0,Kodungalloor
TID00141,10/09/2024,CUST7461,Rajesh,PROD244,Sony Bravia,tv,4,30619,122476,0.1,110228.4,Debit Card,No,0,0,Kodungalloor
TID00142,30/08/2024,CUST2251,Suraj,PROD344,iPhone 14,phone,3,21763,65289,0.08,60065.88,Cash,No,0,0,Kodungalloor
TID00143,18/08/2024,CUST4807,Akhil,PROD788,LG InstaView,fridge,5,2737,13685,0.18,11221.7,Cash,No,0,0,Kodungalloor
TID00144,25/08/2024,CUST3888,Lekshmi,PROD844,iPhone 14,phone,1,32164,32164,0.06,30234.16,EMI,Yes,6,5039.03,Kodungalloor
TID00145,14/08/2024,CUST5217,Krishna,PROD216,Samsung Galaxy S22,phone,4,42273,169092,0.06,158946.48,Debit Card,No,0,0,Kodungalloor
TID00146,04/09/2024,CUST3941,Arjun,PROD127,Havells Turbo,fan,2,13089,26178,0.15,22251.3,Credit Card,No,0,0,Kodungalloor
TID00147,22/08/2024,CUST4441,Anjali,PROD553,LG MJ3286BFUM,oven,4,1349,5396,0.08,4964.32,EMI,Yes,12,413.69,Kodungalloor
TID00148,15/09/2024,CUST6827,Anjali,PROD560,OnePlus 10,phone,3,23639,70917,0.03,68789.49,Debit Card,No,0,0,Kodungalloor
TID00149,01/08/2024,CUST5257,Sreeja,PROD225,LG InstaView,fridge,4,34134,136536,0.17,113324.88,Cash,No,0,0,Kodungalloor
TID00150,02/08/2024,CUST8182,Krishna,PROD453,Samsung Twin Cooling,fridge,4,48048,192192,0.13,167207.04,Debit Card,No,0,0,Kodungalloor
TID00151,21/08/2024,CUST1028,Anjali,PROD276,OnePlus 10,phone,4,6659,26636,0.02,26103.28,Credit Card,No,0,0,Kodungalloor
TID00152,28/09/2024,CUST3940,Anjali,PROD549,Bosch WAB20267IN,washing machine,5,34405,172025,0.07,159983.25,Cash,No,0,0,Kodungalloor
TID00153,01/08/2024,CUST9780,Krishna,PROD659,Samsung WT75,washing machine,3,3533,10599,0.1,9539.1,Cash,No,0,0,Kodungalloor
TID00154,16/08/2024,CUST2746,Rajesh,PROD176,Orient Electric,fan,3,48126,144378,0.07,134271.54,EMI,Yes,24,5594.65,Kodungalloor
TID00155,10/09/2024,CUST2215,Akhil,PROD371,iPhone 14,phone,5,47531,237655,0.04,228148.8,Cash,No,0,0,Kodungalloor
TID00156,21/09/2024,CUST8664,Krishna,PROD632,Bajaj Esteem,fan,4,28348,113392,0.17,94115.36,Cash,No,0,0,Kodungalloor
TID00157,06/08/2024,CUST7480,Devi,PROD259,Samsung QLED,tv,3,18310,54930,0.13,47789.1,Credit Card,No,0,0,Kodungalloor
TID00158,09/08/2024,CUST7460,Suraj,PROD912,HP Pavilion,laptop,4,33118,132472,0.11,117900.08,Credit Card,No,0,0,Kodungalloor
TID00159,16/09/2024,CUST8699,Anand,PROD100,Bosch WAB20267IN,washing machine,3,40197,120591,0.1,108531.9,Debit Card,No,0,0,Kodungalloor
TID00160,09/08/2024,CUST3455,Sreeja,PROD629,MacBook Air,laptop,4,2108,8432,0.11,7504.48,Cash,No,0,0,Kodungalloor
TID00161,31/08/2024,CUST7152,Devi,PROD295,OnePlus 10,phone,4,37227,148908,0.03,144440.76,EMI,Yes,24,6018.37,Kodungalloor
TID00162,14/08/2024,CUST6199,Devi,PROD657,Samsung Twin Cooling,fridge,5,44529,222645,0.11,198154.05,Cash,No,0,0,Kodungalloor
TID00163,14/08/2024,CUST4555,Devi,PROD746,OnePlus 10,phone,1,49835,49835,0.06,46844.9,Debit Card,No,0,0,Kodungalloor
TID00164,18/08/2024,CUST7557,Devi,PROD254,Samsung Twin Cooling,fridge,5,6738,33690,0.06,31668.6,Cash,No,0,0,Kodungalloor
TID00165,22/08/2024,CUST6831,Sreeja,PROD782,Samsung QLED,tv,1,32704,32704,0.16,27471.36,Credit Card,No,0,0,Kodungalloor
TID00166,05/08/2024,CUST8736,Suraj,PROD498,Whirlpool Neo Fresh,fridge,1,39027,39027,0.02,38246.46,Credit Card,No,0,0,Kodungalloor
TID00167,06/09/2024,CUST3049,Akhil,PROD620,Dell Inspiron,laptop,2,49485,98970,0.01,97980.3,Credit Card,No,0,0,Kodungalloor
TID00168,18/09/2024,CUST7647,Sreeja,PROD344,LG MJ3286BFUM,oven,5,48633,243165,0.15,206690.25,Credit Card,No,0,0,Kodungalloor
TID00169,05/09/2024,CUST9722,Rajesh,PROD564,Orient Electric,fan,3,2358,7074,0.13,6154.38,Credit Card,No,0,0,Kodungalloor
TID00170,16/09/2024,CUST3038,Anand,PROD646,Whirlpool Neo Fresh,fridge,4,18944,75776,0.17,62894.08,Debit Card,No,0,0,Kodungalloor
TID00171,14/08/2024,CUST7859,Krishna,PROD476,Bajaj Esteem,fan,4,27555,110220,0.04,105811.2,Cash,No,0,0,Kodungalloor
TID00172,11/09/2024,CUST7370,Arjun,PROD922,MacBook Air,laptop,2,23008,46016,0.07,42794.88,Debit Card,No,0,0,Kodungalloor
TID00173,16/09/2024,CUST1389,Akhil,PROD293,Bajaj Esteem,fan,1,42407,42407,0.11,37742.23,Credit Card,No,0,0,Kodungalloor
TID00174,08/08/2024,CUST1159,Krishna,PROD658,MacBook Air,laptop,2,46010,92020,0.09,83738.2,Credit Card,No,0,0,Kodungalloor
TID00175,31/08/2024,CUST7817,Krishna,PROD352,Samsung Galaxy S22,phone,1,6581,6581,0.07,6120.33,EMI,Yes,18,340.02,Kodungalloor
TID00176,11/09/2024,CUST7493,Anjali,PROD247,OnePlus 10,phone,1,11616,11616,0.02,11383.68,Cash,No,0,0,Kodungalloor
